,lat,long
0,38.2555674,-85.7442675156593
1,39.7701965,-104.9798778
2,41.9427559,-86.5561575
3,42.79149405,-86.1079158742726
4,42.95988805,-85.6459617655121
5,46.5470083,-87.3944001
6,42.95834865,-85.6740544264832
7,41.6939205,-86.1823337
8,39.08196355,-94.5968230668374
9,37.7630772,-122.4011065
10,34.61068975,-120.202222556244
11,40.0625835,-105.204765186937
12,39.1428736,-96.6792762
13,35.5958792,-120.69408002996
14,33.80802235,-84.3810721937623
15,40.0629454,-105.2792068
16,41.6759774,-87.9978837
17,41.8059343,-87.8371483
18,44.91398765,-93.1395980785081
19,38.2555674,-85.7442675156593
20,29.6017424,-98.5612324
21,27.76904775,-82.662598275007
22,36.2033414,-81.668461
23,35.23064025,-80.8265309907092
24,39.3365985,-76.6447849
25,42.3372918,-83.0184893
26,43.12046815,-89.3541628513683
27,42.2843206,-85.4551143586775
28,30.2545924,-97.7170085
29,45.5898202,-122.591343
30,39.7632294,-104.9813405
31,39.72423185,-121.815455732528
32,44.71509875,-85.635105808311
33,38.58251855,-90.4058081241947
34,41.255105,-75.8574784
35,39.1172,-84.5199207586262
36,39.7595832,-84.1860927
37,46.5470083,-87.3944001
38,32.707093,-117.1515633
39,39.09630095,-84.5087167704914
